id,name,investor,total_scale_area,operating_time,start_year,price,building_density,address,address_code,ward_commune,district,city,type_ward,type_district,type_city,city_code,economic_zone,latitude,longitude
75,Khu công nghiệp Bờ Trái Sông Đà,Công ty Cổ phần Thương mại Dạ Hợp,68 ha, ,2014," 55 USD/m2 Chưa bao gồm VAT, phí quản lý, bảo hiểm, điện nước",60 (%),"Phường Hữu Nghị, thành phố Hòa Bình, tỉnh Hòa Bình",04798,Phường Hữu Nghị,Thành phố Hòa Bình,Tỉnh Hoà Bình,Phường,Thành phố,Tỉnh,17,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,10.9264628,106.73250790063798
76,Khu công nghiệp Khai Quang,Công ty Cổ phần phát triển hạ tầng Vĩnh Phúc,"221,46 ha",2053,2003,150 USD/m2 Giá chưa bao gồm VAT,60 (%,"Phường Khai Quang, thành phố Vĩnh Hòa, tỉnh Vĩnh Phúc",08728,Phường Khai Quang,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc,Phường,Thành phố,Tỉnh,26,ĐỒNG BẰNG SÔNG HỒNG,,
77,Khu công nghiệp Linh Trung I - Thành phố Hồ Chí Minh,LINHTRUNGI-IP-HCM,62ha, ,1995,90 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Linh Trung, quận Thủ Đức, thành phố Hồ Chí Minh",26800,Phường Linh Trung,Thành phố Thủ Đức,Thành phố Hồ Chí Minh,Phường,Thành phố,Thành phố,79,ĐÔNG NAM BỘ,,
78,Khu công nghiệp Hoà Xá - Nam Định,HOAXA-IP-ND,327ha, ,2010,"60 USD/m2 Không thay đổi trong vòng 2 năm, chưa bao gồm VAT",60 (%),"Phường Lộc Hòa và Mỹ Xá, thành phố Nam Định",13693,Phường Lộc Hòa,Thành phố Nam Định,Tỉnh Nam Định,Phường,Thành phố,Tỉnh,36,ĐỒNG BẰNG SÔNG HỒNG,,
78, , , , , , , ," Xã Hòa Lộc và Mỹ Xá, thành phố Nam Định",13699,Phường Mỹ Xá,Thành phố Nam Định,Tỉnh Nam Định,Phường,Thành phố,Tỉnh,36,ĐỒNG BẰNG SÔNG HỒNG,,
79,Khu công nghiệp Biên Hòa II - Đồng Nai,BIENHOAII-IP-DNA,365ha, ,1995,150 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Long Bình Tân, thành phố Biên Hòa, tỉnh Đồng Nai",26020,Phường Long Bình,Thành phố Biên Hòa,Tỉnh Đồng Nai,Phường,Thành phố,Tỉnh,75,ĐÔNG NAM BỘ,10.8989389,106.8492343
80,Khu công nghiệp Phụ trợ ngành thanh - Quảng Ninh,PHUTRONGANHTHAN-IP-QN,400ha, ,2014,0 USD/m2,60 (%),"Phường Mông Dương, thành phố Cẩm Phả, tỉnh Quảng Ninh",06760,Phường Mông Dương,Thành phố Cẩm Phả,Tỉnh Quảng Ninh,Phường,Thành phố,Tỉnh,22,ĐỒNG BẰNG SÔNG HỒNG,21.112674,107.2871532498228
81,Khu công nghiệp Mỹ Xuân B1 - CONAC - Bà Rịa Vũng Tàu,MYXUANB1-IP-BRVT,211.92ha,2062,1998,80 USD/m2 Giá chưa bao gồm VAT,60 (%),"Phường Mỹ Xuân, Thị Xã Phú Mỹ , Tỉnh Bà Rịa - Vũng Tàu",26719,Phường Mỹ Xuân,Thành phố Phú Mỹ,Tỉnh Bà Rịa - Vũng Tàu,Phường,Thành phố,Tỉnh,77,ĐÔNG NAM BỘ,10.6308489,107.051455
82,Khu công nghiệp Mỹ Xuân A2 - Bà Rịa Vũng Tàu,MYXUANA2-IP-BRVT,422.22ha,2051,2001,120 USD/m2 Giá chưa bao gồm VAT,60 (%),"Phường Mỹ Xuân, Thị Xã Phú Mỹ, tỉnh Bà Rịa – Vũng Tàu",26719,Phường Mỹ Xuân,Thành phố Phú Mỹ,Tỉnh Bà Rịa - Vũng Tàu,Phường,Thành phố,Tỉnh,77,ĐÔNG NAM BỘ,10.6308489,107.051455
83,Khu công nghiệp Mỹ Xuân B1 Đại Dương - Bà Rịa Vũng Tàu,MYXUANB1DAIDUONG-IP-BRVT,145.7ha,2056,2006,130 USD/m2 Giá chưa bao gồm VAT,60 (%),"Phường Mỹ Xuân, Thị xã Phú Mỹ, Tỉnh Bà Rịa – Vũng Tàu",26719,Phường Mỹ Xuân,Thành phố Phú Mỹ,Tỉnh Bà Rịa - Vũng Tàu,Phường,Thành phố,Tỉnh,77,ĐÔNG NAM BỘ,10.6308489,107.051455
84,Khu Công Nghiệp Đông Phố Mới - Lào Cai,DONGPHOMOI-IP-LC,100h, ,2011,50 USD/m2 Chưa bao gồm VAT,60 (%),"phường Phố Mới và một phần xã Vạn Hòa thành phố Lào Cai, tỉnh Lào Cai",02665,Xã Vạn Hòa,Thành phố Lào Cai,Tỉnh Lào Cai,Xã,Thành phố,Tỉnh,10,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,,
84,,,, , ,,,"phường Phố Mới và một phần xã Vạn Hòa thành phố Lào Cai, tỉnh Lào Cai",02641,Phường Lào Cai,Thành phố Lào Cai,Tỉnh Lào Cai,Phường,Thành phố,Tỉnh,10,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC,,
85,Khu công nghiệp Phú Bài mở rộng - Thừa Thiên Huế,PHUBAIMORONG-IP-TTH,118.5ha, , ,30 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Phú Bài, thị xã Hương Thủy, tỉnh Thừa Thiên Huế",19960,Phường Phú Bài,Thị xã Hương Thủy,Thành phố Huế,Phường,Thị xã,Thành phố,46,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,,
86,Khu công nghiệp Phú Bài - Thừa Thiên Huế,PHUBAI-IP-TTH,184.96ha, ,1998,30 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Phú Bài, thị xã Hương Thủy, tỉnh Thừa Thiên Huế",19960,Phường Phú Bài,Thị xã Hương Thủy,Thành phố Huế,Phường,Thị xã,Thành phố,46,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,,
87,Khu công nghiệp Phú Mỹ I,PHUMYI-IP-BRVT,945.13ha,2048,1998,50 USD/m2 Giá đã bao gồm VAT,60 (%),"Phường Phú Mỹ, Thị Xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu",26704,Phường Phú Mỹ,Thành phố Phú Mỹ,Tỉnh Bà Rịa - Vũng Tàu,Phường,Thành phố,Tỉnh,77,ĐÔNG NAM BỘ,10.5950801,107.0546255
88,Khu công nghiệp Hưng Phú 2B - Cần Thơ,HUNGPHU2B-IP-CT,62.63ha, , ,60 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Phú Thứ, quận Cái Răng, thành phố Cần Thơ",31201,Phường Phú Thứ,Quận Cái Răng,Thành phố Cần Thơ,Phường,Quận,Thành phố,92,ĐỒNG BẰNG SÔNG CỬU LONG,10.0016934,105.8013844
89,Khu công nghiệp Hưng Phú 2A - Cần Thơ,HUNGPHU2A-IP-CT,134ha, , ,60 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Phú Thứ, quận Cái Răng, thành phố Cần Thơ",31201,Phường Phú Thứ,Quận Cái Răng,Thành phố Cần Thơ,Phường,Quận,Thành phố,92,ĐỒNG BẰNG SÔNG CỬU LONG,10.0016934,105.8013844
90,Khu công nghiệp Hà Nội - Đài Tư - Hà Nội,DAITU-IP-VP,40ha,2045,1995,120 USD/m2 Giá chưa bao gồm VAT,60 (%),"phường Phúc Lợi, quận Long Biên, thành phố Hà Nội",00136,Phường Phúc Lợi,Quận Long Biên,Thành phố Hà Nội,Phường,Quận,Thành phố,1,ĐỒNG BẰNG SÔNG HỒNG,21.0432038,105.9251194
91,Khu công nghiệp Phúc Yên,Công ty Cổ phần đầu tư kinh doanh và phát triển hạ tầng Khu công nghiệp Phúc Hà,135 ha,2060,2010,90 USD/m2 (Dự kiến),60 (%),"Phường Phúc Thắng, Phường Nam Yên, thành phố Phúc Yên, tỉnh Vĩnh Phúc",08743,Phường Phúc Thắng,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc,Phường,Thành phố,Tỉnh,26,ĐỒNG BẰNG SÔNG HỒNG,,
